,Unnamed: 0,name,description,winery,ages,tipes_grapes,Colors
29,29,Fernando de Castilla Classic Fino,Fortified wine Fino. 5 years in oak barrels. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Rey Fernando de Castilla,Rey Fernando de Castilla,Palomino,Fortified wine
30,30,Oloroso Don Nuño,Fortified wine Oloroso. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Lustau,Lustau,Palomino,Fortified wine
31,31,Fernando de Castilla Antique Fino,Fortified wine Fino. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Rey Fernando de Castilla,Rey Fernando de Castilla,Palomino,Fortified wine
32,32,Fernando de Castilla Antique Amontillado,Fortified wine Amontillado. 30 years in solera. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Rey Fernando de Castilla,Rey Fernando de Castilla,Lado,Fortified wine
33,33,Florecita Clarete Tinajas 2015,Rosé wine Aged in amphorae Natural. Winery: Casa de Sí. D.O. Calatayud. (Aragón) Variety: Garnacha Tinta and Garnacha Blanca.,Casa de Sí,Casa de Sí,Garnacha Blanca,Rosé wine
34,34,Javier Revert Clausus 2016,"White wine Aged in amphorae Organic. Winery: Javier Revert Viticultor. D.O. Valencia. (Valencia) Variety: Other White varieties, Trepadell and Tortosí.",Javier Revert Viticultor,Javier Revert Viticultor,Other White varieties,White wine
35,35,Fernando de Castilla Antique Palo Cortado,Fortified wine Palo cortado. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Rey Fernando de Castilla,Rey Fernando de Castilla,Palomino,Fortified wine
36,36,Oloroso Emperatriz Eugenia,Fortified wine Oloroso. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Lustau,Lustau,Palomino,Fortified wine
37,37,Fernando de Castilla Antique Oloroso,Fortified wine Oloroso. 30 years in solera. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Rey Fernando de Castilla,Rey Fernando de Castilla,Palomino,Fortified wine
38,38,Noé Pedro Ximénez VORS,Sweet wine Criaderas and Solera. Winery: González Byass. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Pedro Ximénez,González Byass,González Byass,Pedro Ximénez,Sweet wine
39,39,Octogenarius Magnum 2014,Red wine Barrel Respectful agriculture. 12 months in oak barrels. Winery: Bodegas Gama. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta,Bodegas Gama,Bodegas Gama,Garnacha Tinta,Red wine
40,40,La Barajuela Fino II Saca 2013,Fortified wine Fino. 30 months under a cape of 'flor'. Winery: Bodegas Luis Pérez. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Bodegas Luis Pérez,Bodegas Luis Pérez,Palomino,Fortified wine
41,41,Oloroso Tradición VORS,Fortified wine Oloroso. Winery: Tradición. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Tradición,Tradición,Palomino,Fortified wine
42,42,Amontillado Tradición VORS,Fortified wine Amontillado. Winery: Tradición. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Tradición,Tradición,Lado,Fortified wine
43,43,Las Uvas de la Ira Vino del Pueblo 2014,Red wine Barrel. 10 months in foudres. Winery: Daniel Landi. D.O. Méntrida. (Castilla La Mancha) Variety: Garnacha Tinta,Daniel Landi,Daniel Landi,Garnacha Tinta,Red wine
44,44,La Barajuela Oloroso 2013,Fortified wine Oloroso. Winery: Bodegas Luis Pérez. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Bodegas Luis Pérez,Bodegas Luis Pérez,Palomino,Fortified wine
45,45,Dry Sack Medium,Fortified wine Oloroso. 6 years in criaderas and soleras. Winery: Williams & Humbert. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino and Pedro Ximénez.,Williams & Humbert,Williams & Humbert,Palomino,Fortified wine
46,46,Fino Pando,Fortified wine Fino. Winery: Williams & Humbert. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Williams & Humbert,Williams & Humbert,Palomino,Fortified wine
47,47,Málaga Virgen,Sweet wine. 24 months in American oak barrels. Winery: Málaga Virgen. D.O. Málaga-Sierras de Málaga. (Andalusia) Variety: Pedro Ximénez,Málaga Virgen,Málaga Virgen,Pedro Ximénez,Sweet wine
48,48,Pyjama Godello 2015,White wine Young. 5 months on lees in stainless steel vats. Winery: Demencia de Autor. D.O. Bierzo. (Castilla y León) Variety: Godello,Demencia de Autor,Demencia de Autor,Godello,White wine
49,49,Pedrouzos Magnum 2012,White wine Reserva. 6 months in French oak barrels. Winery: Valdesil. D.O. Valdeorras. (Galicia) Variety: Godello,Valdesil,Valdesil,Godello,White wine
50,50,Ramiro's 2013,Red wine Reserva. 30 months in French and American oak barrels. Winery: Ramiro Wine Cellar. VT Castilla-León. (Castilla y León) Variety: Tempranillo,Ramiro Wine Cellar,Ramiro Wine Cellar,Tempranillo,Red wine
51,51,Manzanilla Alegría,Fortified wine Manzanilla. 6 years in criaderas and soleras. Winery: Williams & Humbert. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino,Williams & Humbert,Williams & Humbert,Palomino,Fortified wine
52,52,Teso la Monja 2012,Red wine Reserva Respectful agriculture. 24 months in French oak barrels. Winery: Teso la Monja. D.O. Toro. (Castilla y León) Variety: Tinta de Toro,Teso la Monja,Teso la Monja,Ti,Red wine
53,53,L'Ermita 2015,Red wine Crianza Respectful agriculture. Winery: Álvaro Palacios. D.O.Q. Priorat. (Catalonia) Variety: Garnacha Tinta and Cariñena.,Álvaro Palacios,Álvaro Palacios,Cariñena,Red wine
54,54,Canasta Cream,Fortified wine Cream. Winery: Williams & Humbert. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino and Pedro Ximénez.,Williams & Humbert,Williams & Humbert,Palomino,Fortified wine
55,55,"Manzanilla Pasada Pastora Saca 2018 37,5 cl",Fortified wine Manzanilla. 9 years in solera. Winery: Barbadillo. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino,Barbadillo,Barbadillo,Palomino,Fortified wine
56,56,Colosia Fino 75cl,Fortified wine Fino. 3 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Colosia,Colosia,Palomino,Fortified wine
57,57,Colosia Manzanilla,Fortified wine Manzanilla. 3 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Colosia,Colosia,Palomino,Fortified wine
58,58,Colosia Cream,Sweet wine Criaderas and Solera. 5 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino and Pedro Ximénez.,Colosia,Colosia,Palomino,Sweet wine
59,59,Williams Colección de Añadas Fino Ecológico 2015,Fortified wine Fino. 36 months in American oak barrels. Winery: Williams & Humbert. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Williams & Humbert,Williams & Humbert,Palomino,Fortified wine
60,60,Gratallops Magnum 2017,"Red wine Crianza Respectful agriculture. 18 months in French oak barrels. Winery: Álvaro Palacios. D.O.Q. Priorat. (Catalonia) Variety: Cabernet Sauvignon, Garnacha Tinta, Syrah and Samsó.",Álvaro Palacios,Álvaro Palacios,Cabernet Sauvignon,Red wine
61,61,Pingus Magnum 2017,Red wine Barrel Biodinámico. Winery: Dominio de Pingus. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo,Dominio de Pingus,Dominio de Pingus,Tempranillo,Red wine
62,62,Almirez Magnum 2017,Red wine Crianza Respectful agriculture. 14 months in French oak barrels. Winery: Teso la Monja. D.O. Toro. (Castilla y León) Variety: Tinta de Toro,Teso la Monja,Teso la Monja,Ti,Red wine
63,63,Colosia Amontillado,Fortified wine Amontillado. 8 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Colosia,Colosia,Lado,Fortified wine
64,64,Colosía Oloroso,Fortified wine Oloroso. 5 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Colosia,Colosia,Palomino,Fortified wine
65,65,Colosia Fino En Rama,Fortified wine Fino. 3 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Colosia,Colosia,Palomino,Fortified wine
66,66,Victorino Magnum 2017,Red wine Crianza Respectful agriculture. 18 months in French oak barrels. Winery: Teso la Monja. D.O. Toro. (Castilla y León) Variety: Tinta de Toro,Teso la Monja,Teso la Monja,Ti,Red wine
67,67,Teso la Monja 2014,Red wine Reserva Respectful agriculture. 24 months in French oak barrels. Winery: Teso la Monja. D.O. Toro. (Castilla y León) Variety: Tinta de Toro,Teso la Monja,Teso la Monja,Ti,Red wine
68,68,El Bosque 2017,Red wine Barrel Biodinámico. 18 months in French oak barrels. Winery: Sierra Cantabria. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Sierra Cantabria,Sierra Cantabria,Tempranillo,Red wine
69,69,La Mujer Cañón 2017,Red wine Crianza. Winery: Uvas Felices. D.O. Vinos de Madrid. (Madrid) Variety: Garnacha Tinta,Uvas Felices,Uvas Felices,Garnacha Tinta,Red wine
70,70,Massuria 2011,Red wine Barrel Organic. 15 months in French oak barrels. Winery: Mas Asturias. D.O. Bierzo. (Castilla y León) Variety: Mencía,Mas Asturias,Mas Asturias,Mencía,Red wine
71,71,Caus Lubis 2004,Red wine Reserva Respectful agriculture. 12 months in French oak barrels. Winery: Can Ràfols dels Caus. D.O. Penedès. (Catalonia) Variety: Merlot,Can Ràfols dels Caus,Can Ràfols dels Caus,Merlot,Red wine
72,72,Matías i Torres Albillo Criollo 2014,White wine Aged on its lees. 4 months on lees in stainless steel vats. Winery: Victoria Torres. D.O. La Palma. (Canary Islands) Variety: Albillo,LAN,LAN,Albillo,White wine
73,73,Artillero 2013,Red wine Barrel Respectful agriculture. 14 months in French oak barrels. Winery: Oxer Bastegieta. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Oxer Bastegieta,Oxer Bastegieta,Tempranillo,Red wine
74,74,Reina de los Deseos 2017,Red wine Crianza. 14 months in French oak barrels. Winery: Uvas Felices. D.O. Vinos de Madrid. (Madrid) Variety: Garnacha Tinta,Uvas Felices,Uvas Felices,Garnacha Tinta,Red wine
75,75,Reina de los Deseos Magnum 2017,Red wine Crianza. 14 months in French oak barrels. Winery: Uvas Felices. D.O. Vinos de Madrid. (Madrid) Variety: Garnacha Tinta,Uvas Felices,Uvas Felices,Garnacha Tinta,Red wine
76,76,Colosía Solera Familiar Pedro Ximénez,Sweet wine Criaderas and Solera. 50 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Pedro Ximénez,Colosia,Colosia,Pedro Ximénez,Sweet wine
77,77,Colosía Solera Familiar Amontillado,Fortified wine Amontillado. 50 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Colosia,Colosia,Lado,Fortified wine
78,78,Colosía Solera Familiar Palo Cortado,Fortified wine Palo cortado. 50 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Colosia,Colosia,Palomino,Fortified wine
79,79,Colosía Solera Familiar Oloroso,Fortified wine Oloroso. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Colosia,Colosia,Palomino,Fortified wine
80,80,Oloroso Almirante 15 años,Fortified wine Oloroso. 15 years in criaderas and soleras. Winery: Marqués del Real Tesoro. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Marqués del Real Tesoro,Marqués del Real Tesoro,Palomino,Fortified wine
81,81,Fino Tío Mateo,Fortified wine Fino. 5 years in criaderas and soleras. Winery: Marqués del Real Tesoro. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Marqués del Real Tesoro,Marqués del Real Tesoro,Palomino,Fortified wine
82,82,Colosía Moscatel Soleado,Sweet wine Criaderas and Solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Moscatel,Colosia,Colosia,Moscatel,Sweet wine
83,83,Colosía Pedro Ximénez,Sweet wine Criaderas and Solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Pedro Ximénez,Colosia,Colosia,Pedro Ximénez,Sweet wine
84,84,Señorío de P. Peciña Gran Reserva 2009,"Red wine Gran Reserva. 48 months in American oak barrels. Winery: Hermanos Peciña. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta, Graciano and Tempranillo.",Graci,Graci,Garnacha Tinta,Red wine
85,85,Pingus 2015,Red wine Crianza. Winery: Dominio de Pingus. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo,Dominio de Pingus,Dominio de Pingus,Tempranillo,Red wine
86,86,Oriol Artigas La Raspa 2017,"Red wine Young Natural. Winery: Oriol Artigas. Alella. (Catalonia) Variety: Monastrell, Garnacha Tinta, Syrah and Merlot.",Oriol Artigas,Oriol Artigas,Garnacha Tinta,Red wine
87,87,Faustino I Gran Reserva 2009,"Red wine Gran Reserva. 28 months in French and American oak barrels. Winery: Faustino. D.O.Ca. Rioja. (La Rioja) Variety: Mazuela, Graciano and Tempranillo.",Faustino,Faustino,Graciano,Red wine
88,88,Pujanza Cisma 2010,Red wine Barrel. 16 months in French oak barrels. Winery: Pujanza. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Pujanza,Pujanza,Tempranillo,Red wine
89,89,Pujanza Cisma 2011,Red wine Barrel. 16 months in French oak barrels and 16 months in French oak barrels. Winery: Pujanza. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Pujanza,Pujanza,Tempranillo,Red wine
90,90,Pujanza Cisma 2012,Red wine Barrel. 16 months in French oak barrels. Winery: Pujanza. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Pujanza,Pujanza,Tempranillo,Red wine
91,91,Tradición Fino 12 Años,Fortified wine Fino. Winery: Tradición. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Tradición,Tradición,Palomino,Fortified wine
92,92,Torremorón Reserva 2014,Red wine Reserva. 24 months in French and American oak barrels. Winery: Bodegas Torremorón. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino,Bodegas Torremorón,Bodegas Torremorón,Ti,Red wine
93,93,Campesino 2016,Red wine Barrel. 6 months in French oak barrels. Winery: Bodega Burdigala. D.O. Toro. (Castilla y León) Variety: Tinta de Toro,Bodega Burdigala,Bodega Burdigala,Ti,Red wine
94,94,Vulcano Dulce,Sweet wine. Winery: Bodega Vulcano. D.O. Lanzarote. (Canary Islands) Variety: Moscatel de Alejandría,Bodega Vulcano,Bodega Vulcano,Moscatel,Sweet wine
95,95,Termanthia 2013,Red wine Crianza. 20 months in French oak barrels. Winery: Numanthia. D.O. Toro. (Castilla y León) Variety: Tinta de Toro,Numanthia,Numanthia,Ti,Red wine
96,96,La Panesa Especial Fino,Fortified wine Fino. Winery: Emilio Hidalgo. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Emilio Hidalgo,Emilio Hidalgo,Palomino,Fortified wine
97,97,Manzanilla Argüeso San León Reserva de la Familia,Fortified wine Manzanilla. Winery: Bodegas Argüeso. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino,Bodegas Argüeso,Bodegas Argüeso,Palomino,Fortified wine
98,98,Cream Argüeso,Fortified wine Cream. Winery: Bodegas Argüeso. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino and Pedro Ximénez.,Bodegas Argüeso,Bodegas Argüeso,Palomino,Fortified wine
99,99,Valdespino Ojo de Gallo 2017,White wine Young. Winery: Valdespino. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Valdespino,Valdespino,Palomino,White wine
100,100,As Caborcas 2015,"Red wine Barrel. 12 months in foudres. Winery: Telmo Rodríguez. D.O. Valdeorras. (Galicia) Variety: Mencía, Godello, Merenzao, Garnacha Tinta and Souson.",Telmo Rodríguez,Telmo Rodríguez,Garnacha Tinta,Red wine
101,101,Leda Viñas Viejas 2014,Red wine Crianza. 30 months in French and American oak barrels. Winery: Leda. VT Castilla-León. (Castilla y León) Variety: Tempranillo,Leda,Leda,Tempranillo,Red wine
102,102,Amontillado Argüeso,Fortified wine Amontillado. Winery: Bodegas Argüeso. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Bodegas Argüeso,Bodegas Argüeso,Lado,Fortified wine
103,103,Castillo Ygay Gran Reserva Especial Blanco 1986,White wine Barrel. 21 years in oak barrels and 67 months in tank. Winery: Marqués de Murrieta. D.O.Ca. Rioja. (La Rioja) Variety: Viura,Marqués de Murrieta,Marqués de Murrieta,Viura,White wine
104,104,Altos del Enebro 2016,Red wine Barrel. 18 months in French oak barrels 225 L. Winery: Altos del Enebro. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo,Altos del Enebro,Altos del Enebro,Tempranillo,Red wine
105,105,L'Infernal Face Nord 2015,Red wine Barrel Organic. 14 months in French oak barrels 500 L. Winery: Trio Infernal. D.O.Q. Priorat. (Catalonia) Variety: Syrah,Trio Infernal,Trio Infernal,Syrah,Red wine
106,106,Valdehermoso Crianza Magnum 2015,Red wine Crianza. 14 months in French and American oak barrels. Winery: Valderiz. D.O. Ribera del Duero. (Castilla y León) Variety: Tinta del Pais,Valderiz,Valderiz,Ti,Red wine
107,107,"Fernando de Castilla Classic Fino en Rama 37,5 cl",Fortified wine Fino. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Rey Fernando de Castilla,Rey Fernando de Castilla,Palomino,Fortified wine
108,108,Pujanza Norte 2013,Red wine Barrel. 18 months in French oak barrels. Winery: Pujanza. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo and Other red varieties.,Pujanza,Pujanza,Other red varieties,Red wine
109,109,Luberri Cepas Viejas 2009,Red wine Barrel. Winery: Luberri. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Luberri,Luberri,Tempranillo,Red wine
110,110,Les Pujoles 2012,Red wine Reserva Respectful agriculture. 12 months in French oak barrels. Winery: Orto Vins. D.O. Montsant. (Catalonia) Variety: Ull de Llebre,Orto Vins,Orto Vins,Ull de Llebre,Red wine
111,111,Caligo Vi de Boira 2010,"Sweet wine Barrel. 18 months in French oak barrels 400 L. Winery: DG Viticultors. Penedès. (Catalonia) Variety: Chardonnay, Sauvignon Blanc and Albariño.",DG Viticultors,DG Viticultors,Albariño,Sweet wine
112,112,Sílice Blanco 2017,"White wine Aged on its lees Respectful agriculture. 8 months on lees in stainless steel vats. Winery: Sílice Viticultores. Ribeira Sacra. (Galicia) Variety: Treixadura, Palomino and Godello.",Sílice Viticultores,Sílice Viticultores,Godello,White wine
113,113,Malaparte 2010,Red wine Reserva Respectful agriculture. 16 months in French oak barrels. Winery: Malaparte. VT Castilla-León. (Castilla y León) Variety: Tempranillo,Malaparte,Malaparte,Tempranillo,Red wine
114,114,Honorio Rubio Añadas,White wine Aged on its lees. 12 months in bottle. Winery: Honorio Rubio. D.O.Ca. Rioja. (La Rioja) Variety: Viura,Honorio Rubio,Honorio Rubio,Viura,White wine
115,115,Lacima 2013,Red wine Reserva Respectful agriculture. 19 months in French oak barrels. Winery: Dominio do Bibei. D.O. Ribeira Sacra. (Galicia) Variety: Mencía and Other red varieties.,Dominio do Bibei,Dominio do Bibei,Mencía,Red wine
116,116,Peixe da Estrada 2016,"Red wine Barrel Respectful agriculture. 12 months in French oak barrels used. Winery: Bodegas Peixes. Ribeira Sacra. (Galicia) Variety: Mencía, Godello, Grao Negro, Garnacha Tinta and Mouratón.",Bodegas Peixes,Bodegas Peixes,Garnacha Tinta,Red wine
117,117,Artadi El Carretil 2016,Red wine Barrel Organic. 12 months in French oak barrels. Winery: Artadi. La Rioja. (La Rioja) Variety: Tempranillo,Artadi,Artadi,Tempranillo,Red wine
118,118,Artadi Valdeginés 2017,Red wine Crianza Organic. 12 months in French oak barrels. Winery: Artadi. La Rioja. (La Rioja) Variety: Tempranillo,Artadi,Artadi,Tempranillo,Red wine
119,119,Artadi San Lorenzo de Quintanilla 2017,Red wine Barrel Organic. 12 months in French oak barrels. Winery: Artadi. La Rioja. (La Rioja) Variety: Tempranillo,Artadi,Artadi,Tempranillo,Red wine
120,120,Muradella Tinto 2012,"Red wine Barrel. 16 months in French oak barrels. Winery: Quinta da Muradella. D.O. Monterrei. (Galicia) Variety: Garnacha Tintorera, Bastardo, Mencía and Mouratón.",Quinta da Muradella,Quinta da Muradella,Bastardo,Red wine
121,121,Gaintus Vertical 2011,Red wine Barrel. 14 months in French oak barrels. Winery: Heretat Mont Rubí. D.O. Penedès. (Catalonia) Variety: Sumoll,Heretat Mont Rubí,Heretat Mont Rubí,Sumoll,Red wine
