,name,description
34,Javier Revert Clausus 2016,"White wine Aged in amphorae Organic. Winery: Javier Revert Viticultor. D.O. Valencia. (Valencia) Variety: Other White varieties, Trepadell and Tortosí."
35,Fernando de Castilla Antique Palo Cortado,Fortified wine Palo cortado. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
36,Oloroso Emperatriz Eugenia,Fortified wine Oloroso. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
37,Fernando de Castilla Antique Oloroso,Fortified wine Oloroso. 30 years in solera. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
38,Noé Pedro Ximénez VORS,Sweet wine Criaderas and Solera. Winery: González Byass. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Pedro Ximénez
39,Octogenarius Magnum 2014,Red wine Barrel Respectful agriculture. 12 months in oak barrels. Winery: Bodegas Gama. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta
40,La Barajuela Fino II Saca 2013,Fortified wine Fino. 30 months under a cape of 'flor'. Winery: Bodegas Luis Pérez. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
41,Oloroso Tradición VORS,Fortified wine Oloroso. Winery: Tradición. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
42,Amontillado Tradición VORS,Fortified wine Amontillado. Winery: Tradición. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
43,Las Uvas de la Ira Vino del Pueblo 2014,Red wine Barrel. 10 months in foudres. Winery: Daniel Landi. D.O. Méntrida. (Castilla La Mancha) Variety: Garnacha Tinta
44,La Barajuela Oloroso 2013,Fortified wine Oloroso. Winery: Bodegas Luis Pérez. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
45,Dry Sack Medium,Fortified wine Oloroso. 6 years in criaderas and soleras. Winery: Williams & Humbert. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino and Pedro Ximénez.
46,Fino Pando,Fortified wine Fino. Winery: Williams & Humbert. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
47,Málaga Virgen,Sweet wine. 24 months in American oak barrels. Winery: Málaga Virgen. D.O. Málaga-Sierras de Málaga. (Andalusia) Variety: Pedro Ximénez
48,Pyjama Godello 2015,White wine Young. 5 months on lees in stainless steel vats. Winery: Demencia de Autor. D.O. Bierzo. (Castilla y León) Variety: Godello
49,Pedrouzos Magnum 2012,White wine Reserva. 6 months in French oak barrels. Winery: Valdesil. D.O. Valdeorras. (Galicia) Variety: Godello
50,Ramiro's 2013,Red wine Reserva. 30 months in French and American oak barrels. Winery: Ramiro Wine Cellar. VT Castilla-León. (Castilla y León) Variety: Tempranillo
51,Manzanilla Alegría,Fortified wine Manzanilla. 6 years in criaderas and soleras. Winery: Williams & Humbert. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino
52,Teso la Monja 2012,Red wine Reserva Respectful agriculture. 24 months in French oak barrels. Winery: Teso la Monja. D.O. Toro. (Castilla y León) Variety: Tinta de Toro
53,L'Ermita 2015,Red wine Crianza Respectful agriculture. Winery: Álvaro Palacios. D.O.Q. Priorat. (Catalonia) Variety: Garnacha Tinta and Cariñena.
54,Canasta Cream,Fortified wine Cream. Winery: Williams & Humbert. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino and Pedro Ximénez.
55,"Manzanilla Pasada Pastora Saca 2018 37,5 cl",Fortified wine Manzanilla. 9 years in solera. Winery: Barbadillo. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino
56,Colosia Fino 75cl,Fortified wine Fino. 3 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
57,Colosia Manzanilla,Fortified wine Manzanilla. 3 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
58,Colosia Cream,Sweet wine Criaderas and Solera. 5 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino and Pedro Ximénez.
59,Williams Colección de Añadas Fino Ecológico 2015,Fortified wine Fino. 36 months in American oak barrels. Winery: Williams & Humbert. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
60,Gratallops Magnum 2017,"Red wine Crianza Respectful agriculture. 18 months in French oak barrels. Winery: Álvaro Palacios. D.O.Q. Priorat. (Catalonia) Variety: Cabernet Sauvignon, Garnacha Tinta, Syrah and Samsó."
61,Pingus Magnum 2017,Red wine Barrel Biodinámico. Winery: Dominio de Pingus. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo
62,Almirez Magnum 2017,Red wine Crianza Respectful agriculture. 14 months in French oak barrels. Winery: Teso la Monja. D.O. Toro. (Castilla y León) Variety: Tinta de Toro
63,Colosia Amontillado,Fortified wine Amontillado. 8 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
64,Colosía Oloroso,Fortified wine Oloroso. 5 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
65,Colosia Fino En Rama,Fortified wine Fino. 3 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
66,Victorino Magnum 2017,Red wine Crianza Respectful agriculture. 18 months in French oak barrels. Winery: Teso la Monja. D.O. Toro. (Castilla y León) Variety: Tinta de Toro
67,Teso la Monja 2014,Red wine Reserva Respectful agriculture. 24 months in French oak barrels. Winery: Teso la Monja. D.O. Toro. (Castilla y León) Variety: Tinta de Toro
68,El Bosque 2017,Red wine Barrel Biodinámico. 18 months in French oak barrels. Winery: Sierra Cantabria. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
69,La Mujer Cañón 2017,Red wine Crianza. Winery: Uvas Felices. D.O. Vinos de Madrid. (Madrid) Variety: Garnacha Tinta
70,Massuria 2011,Red wine Barrel Organic. 15 months in French oak barrels. Winery: Mas Asturias. D.O. Bierzo. (Castilla y León) Variety: Mencía
71,Caus Lubis 2004,Red wine Reserva Respectful agriculture. 12 months in French oak barrels. Winery: Can Ràfols dels Caus. D.O. Penedès. (Catalonia) Variety: Merlot
72,Matías i Torres Albillo Criollo 2014,White wine Aged on its lees. 4 months on lees in stainless steel vats. Winery: Victoria Torres. D.O. La Palma. (Canary Islands) Variety: Albillo
73,Artillero 2013,Red wine Barrel Respectful agriculture. 14 months in French oak barrels. Winery: Oxer Bastegieta. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
74,Reina de los Deseos 2017,Red wine Crianza. 14 months in French oak barrels. Winery: Uvas Felices. D.O. Vinos de Madrid. (Madrid) Variety: Garnacha Tinta
75,Reina de los Deseos Magnum 2017,Red wine Crianza. 14 months in French oak barrels. Winery: Uvas Felices. D.O. Vinos de Madrid. (Madrid) Variety: Garnacha Tinta
76,Colosía Solera Familiar Pedro Ximénez,Sweet wine Criaderas and Solera. 50 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Pedro Ximénez
77,Colosía Solera Familiar Amontillado,Fortified wine Amontillado. 50 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
78,Colosía Solera Familiar Palo Cortado,Fortified wine Palo cortado. 50 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
79,Colosía Solera Familiar Oloroso,Fortified wine Oloroso. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
80,Oloroso Almirante 15 años,Fortified wine Oloroso. 15 years in criaderas and soleras. Winery: Marqués del Real Tesoro. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
81,Fino Tío Mateo,Fortified wine Fino. 5 years in criaderas and soleras. Winery: Marqués del Real Tesoro. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
82,Colosía Moscatel Soleado,Sweet wine Criaderas and Solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Moscatel
83,Colosía Pedro Ximénez,Sweet wine Criaderas and Solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Pedro Ximénez
84,Señorío de P. Peciña Gran Reserva 2009,"Red wine Gran Reserva. 48 months in American oak barrels. Winery: Hermanos Peciña. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta, Graciano and Tempranillo."
85,Pingus 2015,Red wine Crianza. Winery: Dominio de Pingus. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo
86,Oriol Artigas La Raspa 2017,"Red wine Young Natural. Winery: Oriol Artigas. Alella. (Catalonia) Variety: Monastrell, Garnacha Tinta, Syrah and Merlot."
87,Faustino I Gran Reserva 2009,"Red wine Gran Reserva. 28 months in French and American oak barrels. Winery: Faustino. D.O.Ca. Rioja. (La Rioja) Variety: Mazuela, Graciano and Tempranillo."
88,Pujanza Cisma 2010,Red wine Barrel. 16 months in French oak barrels. Winery: Pujanza. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
89,Pujanza Cisma 2011,Red wine Barrel. 16 months in French oak barrels and 16 months in French oak barrels. Winery: Pujanza. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
90,Pujanza Cisma 2012,Red wine Barrel. 16 months in French oak barrels. Winery: Pujanza. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
91,Tradición Fino 12 Años,Fortified wine Fino. Winery: Tradición. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
92,Torremorón Reserva 2014,Red wine Reserva. 24 months in French and American oak barrels. Winery: Bodegas Torremorón. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino
93,Campesino 2016,Red wine Barrel. 6 months in French oak barrels. Winery: Bodega Burdigala. D.O. Toro. (Castilla y León) Variety: Tinta de Toro
94,Vulcano Dulce,Sweet wine. Winery: Bodega Vulcano. D.O. Lanzarote. (Canary Islands) Variety: Moscatel de Alejandría
95,Termanthia 2013,Red wine Crianza. 20 months in French oak barrels. Winery: Numanthia. D.O. Toro. (Castilla y León) Variety: Tinta de Toro
96,La Panesa Especial Fino,Fortified wine Fino. Winery: Emilio Hidalgo. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
97,Manzanilla Argüeso San León Reserva de la Familia,Fortified wine Manzanilla. Winery: Bodegas Argüeso. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino
98,Cream Argüeso,Fortified wine Cream. Winery: Bodegas Argüeso. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino and Pedro Ximénez.
99,Valdespino Ojo de Gallo 2017,White wine Young. Winery: Valdespino. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
100,As Caborcas 2015,"Red wine Barrel. 12 months in foudres. Winery: Telmo Rodríguez. D.O. Valdeorras. (Galicia) Variety: Mencía, Godello, Merenzao, Garnacha Tinta and Souson."
101,Leda Viñas Viejas 2014,Red wine Crianza. 30 months in French and American oak barrels. Winery: Leda. VT Castilla-León. (Castilla y León) Variety: Tempranillo
102,Amontillado Argüeso,Fortified wine Amontillado. Winery: Bodegas Argüeso. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
103,Castillo Ygay Gran Reserva Especial Blanco 1986,White wine Barrel. 21 years in oak barrels and 67 months in tank. Winery: Marqués de Murrieta. D.O.Ca. Rioja. (La Rioja) Variety: Viura
104,Altos del Enebro 2016,Red wine Barrel. 18 months in French oak barrels 225 L. Winery: Altos del Enebro. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo
105,L'Infernal Face Nord 2015,Red wine Barrel Organic. 14 months in French oak barrels 500 L. Winery: Trio Infernal. D.O.Q. Priorat. (Catalonia) Variety: Syrah
106,Valdehermoso Crianza Magnum 2015,Red wine Crianza. 14 months in French and American oak barrels. Winery: Valderiz. D.O. Ribera del Duero. (Castilla y León) Variety: Tinta del Pais
107,"Fernando de Castilla Classic Fino en Rama 37,5 cl",Fortified wine Fino. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
108,Pujanza Norte 2013,Red wine Barrel. 18 months in French oak barrels. Winery: Pujanza. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo and Other red varieties.
109,Luberri Cepas Viejas 2009,Red wine Barrel. Winery: Luberri. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
110,Les Pujoles 2012,Red wine Reserva Respectful agriculture. 12 months in French oak barrels. Winery: Orto Vins. D.O. Montsant. (Catalonia) Variety: Ull de Llebre
111,Caligo Vi de Boira 2010,"Sweet wine Barrel. 18 months in French oak barrels 400 L. Winery: DG Viticultors. Penedès. (Catalonia) Variety: Chardonnay, Sauvignon Blanc and Albariño."
112,Sílice Blanco 2017,"White wine Aged on its lees Respectful agriculture. 8 months on lees in stainless steel vats. Winery: Sílice Viticultores. Ribeira Sacra. (Galicia) Variety: Treixadura, Palomino and Godello."
113,Malaparte 2010,Red wine Reserva Respectful agriculture. 16 months in French oak barrels. Winery: Malaparte. VT Castilla-León. (Castilla y León) Variety: Tempranillo
114,Honorio Rubio Añadas,White wine Aged on its lees. 12 months in bottle. Winery: Honorio Rubio. D.O.Ca. Rioja. (La Rioja) Variety: Viura
115,Lacima 2013,Red wine Reserva Respectful agriculture. 19 months in French oak barrels. Winery: Dominio do Bibei. D.O. Ribeira Sacra. (Galicia) Variety: Mencía and Other red varieties.
116,Peixe da Estrada 2016,"Red wine Barrel Respectful agriculture. 12 months in French oak barrels used. Winery: Bodegas Peixes. Ribeira Sacra. (Galicia) Variety: Mencía, Godello, Grao Negro, Garnacha Tinta and Mouratón."
117,Artadi El Carretil 2016,Red wine Barrel Organic. 12 months in French oak barrels. Winery: Artadi. La Rioja. (La Rioja) Variety: Tempranillo
118,Artadi Valdeginés 2017,Red wine Crianza Organic. 12 months in French oak barrels. Winery: Artadi. La Rioja. (La Rioja) Variety: Tempranillo
119,Artadi San Lorenzo de Quintanilla 2017,Red wine Barrel Organic. 12 months in French oak barrels. Winery: Artadi. La Rioja. (La Rioja) Variety: Tempranillo
120,Muradella Tinto 2012,"Red wine Barrel. 16 months in French oak barrels. Winery: Quinta da Muradella. D.O. Monterrei. (Galicia) Variety: Garnacha Tintorera, Bastardo, Mencía and Mouratón."
121,Gaintus Vertical 2011,Red wine Barrel. 14 months in French oak barrels. Winery: Heretat Mont Rubí. D.O. Penedès. (Catalonia) Variety: Sumoll
122,Pago Candela 2010,Red wine Barrel. 15 months in oak barrels. Winery: Martínez Palacios. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo and Graciano.
123,Artadi La Morera de San Lázaro 2017,Red wine Barrel Organic. 12 months in French oak barrels. Winery: Artadi. La Rioja. (La Rioja) Variety: Tempranillo
124,Perelada Ex Ex 12 2013,Red wine Barrel Natural. 13 months in French oak barrels. Winery: Castillo de Perelada. D.O. Empordà. (Catalonia) Variety: Cabernet Franc
125,Sacristía AB Manzanilla Saca 2016,Fortified wine Manzanilla. 8 years in oak barrels. Winery: Antonio Barbadillos. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
126,Luna Beberide Finca la Cuesta 2015,Red wine Crianza. 12 months in French oak barrels. Winery: Luna Beberide. D.O. Bierzo. (Castilla y León) Variety: Mencía
127,Artadi Terreras 2017,Red wine Barrel Organic. Winery: Artadi. La Rioja. (La Rioja) Variety: Tempranillo
128,Win.E Verdejo,White wine Young Alcohol-free. Winery: Emina Ribera. Ribera del Duero. (Castilla y León) Variety: Verdejo
129,Win.E Crianza,Red wine Barrel. 12 months in oak barrels. Winery: Emina Ribera. Ribera del Duero. (Castilla y León) Variety: Tempranillo
130,Abadía de Gomariz 2012,"Red wine Barrel. Winery: Coto de Gomariz. D.O. Ribeiro. (Galicia) Variety: Mencía, Souson, Brancellao and Ferrol."
131,Laurona Plini 2012,"Red wine Crianza. 16 months in French oak barrels. Winery: Laurona. D.O. Montsant. (Catalonia) Variety: Syrah, Cariñena and Garnacha Tinta."
132,Solertia 2013,"Red wine Barrel. 12 months in French oak barrels. Winery: Finques de Manyetes. D.O.Q. Priorat. (Catalonia) Variety: Cabernet Sauvignon, Garnacha Tinta and Syrah."
133,La Barajuela Raya 2015,Fortified wine Oloroso. Winery: Bodegas Luis Pérez. Jerez de la Frontera. (Andalusia) Variety: Palomino
134,Doix 2013,Red wine Reserva. 16 months in French oak barrels. Winery: Mas Doix. D.O.Q. Priorat. (Catalonia) Variety: Garnacha Tinta and Cariñena.
135,Alenza Gran Reserva 2006,Red wine Gran Reserva. 24 months in American oak barrels. Winery: Condado de Haza. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo
136,Monastrell Vino de Calichet 2013,Red wine Barrel. 24 months in oak barrels. Winery: Bodegas Cerdá. Alicante. (Valencia) Variety: Monastrell
137,Camino del Norte El Soradal 2015,"Red wine Barrel. 12 months in French oak barrels used. Winery: Camino del Norte Compañía de Vinos. Bierzo. (Castilla y León) Variety: Mencía, Alicante Bouschet and Merlot."
138,Ximénez-Spínola Old Harvest,Sweet wine Criaderas and Solera. Winery: Ximénez Spínola. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Pedro Ximénez
139,Astrales Godello 2011,White wine. Winery: Los Astrales. D.O. Valdeorras. (Galicia) Variety: Godello
140,Lustau Almacenista Cayetano del Pino y Cia.,Fortified wine Palo cortado. 20 years in solera. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
141,Zárate Fontecón Rosé 2017,"Rosé wine Young. Winery: Zárate. Rías Baixas. (Galicia) Variety: Albariño, Espadeiro and Caíño Tinto."
142,Altos de Torona Albariño 2017,White wine Young. Winery: Bodegas Altos de Torona. D.O. Rías Baixas. (Galicia) Variety: Albariño
143,Lustau VORS Palo Cortado,Fortified wine Palo cortado. 30 years in solera. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
144,Oloroso Pata de Gallina,Fortified wine Oloroso. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
145,Mano a Mano 2016,Red wine Barrel. 6 months in French and American oak barrels. Winery: Mano a Mano. VT Castilla. (Castilla La Mancha) Variety: Tempranillo
146,Taanug Blanco 2017,"White wine Young Kosher. Winery: Pinord. D.O. Penedès. (Catalonia) Variety: Macabeo, Parellada and Xarel·lo."
147,Lustau VORS Oloroso,Fortified wine Oloroso. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
148,Fino La Ina,Fortified wine Fino. 5 years in oak barrels. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
149,Vizcarra Torralvo Gran Reserva 2011,Red wine Gran Reserva. 30 months in French oak barrels. Winery: Vizcarra. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino
150,Rejón 2015,Red wine Barrel. 20 months in oak barrels. Winery: Bodegas Tridente. VT Castilla-León. (Castilla y León) Variety: Tempranillo
151,F de Fuentespina 2013,Red wine Reserva. 18 months in oak barrels. Winery: Fuentespina. D.O. Ribera del Duero. (Castilla y León) Variety: Tinto Fino
152,Lustau 3 en Rama Fino de Jerez de la Frontera Saca 2017,Fortified wine Fino. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
153,Finca Viñoa Tinto 2015,"Red wine Barrel fermented. Winery: Finca Viñoa. D.O. Ribeiro. (Galicia) Variety: Brancellao, Souson and Caíño Tinto."
154,Pontac de Portiles 2010,Red wine Barrel. 20 months in French oak barrels. Winery: Luis Alegre. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta and Tempranillo.
155,Tierras de Cair 2012,Red wine Barrel. 24 months in French oak barrels. Winery: Dominio de Cair. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo
156,Zárate Caiño Tinto 2016,Red wine Barrel. 12 months in French oak barrels used. Winery: Zárate. D.O. Rías Baixas. (Galicia) Variety: Caíño Tinto
157,Taanug Tempranillo Crianza 2015,Red wine Barrel Kosher. 12 months in oak barrels. Winery: Pinord. D.O. Penedès. (Catalonia) Variety: Tempranillo
158,"Colosia fino 37,5 cl",Fortified wine Fino. 3 years in solera. Winery: Colosia. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
159,Aires de Vendimia Godello 2014,White wine Barrel. 12 months in French oak barrels 500 L. Winery: José Antonio García Viticultor. D.O. Bierzo. (Castilla y León) Variety: Godello
160,Viña Armijo 12 Liños 2017,White wine Barrel. Winery: Viña Armijo. Cádiz. (Andalusia) Variety: Palomino
161,Alvear Pedro Ximénez 1927,Sweet wine Criaderas and Solera. 5 years in oak barrels. Winery: Alvear. D.O. Montilla-Moriles. (Andalusia) Variety: Pedro Ximénez
162,Alvear Fino C.B.,Fortified wine Fino. 48 months in American oak barrels. Winery: Alvear. D.O. Montilla-Moriles. (Andalusia) Variety: Pedro Ximénez
163,Alvear Solera Cream,Sweet wine Criaderas and Solera. Winery: Alvear. D.O. Montilla-Moriles. (Andalusia) Variety: Pedro Ximénez
164,Sicus Sons Cartoixà 2015,White wine Aged in amphorae Respectful agriculture. months in amphoras. Winery: Sicus. Penedès. (Catalonia) Variety: Xarel·lo
165,La Vigne de Sancho Martín 2015,"Red wine Barrel Respectful agriculture. 12 months in oak barrels. Winery: Mengoba. D.O. Bierzo. (Castilla y León) Variety: Mencía, Godello and Garnacha Tinta."
166,Ederra Garnacha 2016,Red wine Young. Winery: Bodegas Bilbaínas. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta
167,Tanca Els Ulls Macabeu 2017,White wine Aged in amphorae Respectful agriculture. Winery: Celler del Cesc. Terragona. (Catalonia) Variety: Macabeo
168,Alvear Pedro Ximénez Solera 1830,Sweet wine Criaderas and Solera. Winery: Alvear. D.O. Montilla-Moriles. (Andalusia) Variety: Pedro Ximénez
169,Viña Tondonia Gran Reserva 1995,"Red wine Gran Reserva. 120 months in American oak barrels. Winery: Viña Tondonia. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta, Tempranillo, Mazuela and Graciano."
